,tweet_id,type,reference_tweet_id
0,1489282204081532932,retweeted,1489234674484396034
1,1489281922819923972,retweeted,1489022805735845900
2,1489281808969646089,retweeted,1486400269374136324
3,1489281662315868172,replied_to,1489026256423247875
4,1489281015747313664,retweeted,1488254896906416132
5,1489281012387520532,retweeted,1488939789919436803
6,1489280779389652992,quoted,1489217612055781380
7,1489280743519834112,retweeted,1488918533295808513
8,1489280662221819908,retweeted,1489092182401245189
9,1489280605409980421,retweeted,1489076284894363650
10,1489280578633482245,replied_to,1489277947068526594
11,1489280505920909315,quoted,1489001772513468422
12,1489280323695169538,quoted,1489249853976690701
13,1489280188504592386,retweeted,1488886838312022029
14,1489280111526432769,retweeted,1489217612055781380
15,1489278786797453315,retweeted,1488886838312022029
16,1489278561030709260,retweeted,1488914851933999105
17,1489278164408877061,retweeted,1488939789919436803
18,1489277729539342337,retweeted,1488886838312022029
19,1489277216357699588,retweeted,1488939789919436803
20,1489276950346674179,replied_to,1488996978469920772
21,1489276939873435651,retweeted,1489033422383333377
22,1489276775049928705,retweeted,1489251580138319885
23,1489276693898539013,retweeted,1488875049041887234
24,1489276300535685125,retweeted,1489275526581686276
25,1489275951879884806,retweeted,1488939789919436803
26,1489275733784547333,retweeted,1488886838312022029
27,1489275455706472452,retweeted,1488886838312022029
28,1489275354590105608,retweeted,1489269639607635977
29,1489275123907629059,retweeted,1489076284894363650
30,1489275051539111939,retweeted,1488939789919436803
31,1489275030513102852,retweeted,1488939789919436803
32,1489274986795839489,retweeted,1488875049041887234
33,1489274561455476736,retweeted,1489015705483812865
34,1489274499648262147,retweeted,1488875049041887234
35,1489274277228601344,retweeted,1485791014082199558
36,1489274092897202177,retweeted,1488918533295808513
37,1489273721026228236,retweeted,1488875049041887234
38,1489273624641089544,retweeted,1488590141266579462
39,1489273611026378754,quoted,1489136535882526725
40,1489273543141564419,retweeted,1488590141266579462
41,1489273481929891845,retweeted,1485791014082199558
42,1489297618203299848,retweeted,1489295037967978497
43,1489297591858876421,retweeted,1489295037967978497
44,1489297578248314892,retweeted,1489295037967978497
45,1489297561135554566,replied_to,1489058614509776902
46,1489297512943005707,quoted,1489295037967978497
47,1489297460128329736,retweeted,1489295037967978497
48,1489297412770385923,retweeted,1489295037967978497
49,1489297390972637188,retweeted,1489295629281075202
50,1489297360668794886,retweeted,1489295037967978497
51,1489297345741312004,retweeted,1489295037967978497
52,1489297278938533891,retweeted,1489295037967978497
53,1489297258738860033,retweeted,1489295037967978497
54,1489297213775880195,retweeted,1489295037967978497
55,1489297199343161345,retweeted,1489295037967978497
56,1489297188140339201,retweeted,1489295037967978497
57,1489297174311624711,quoted,1488416154922139651
58,1489297098226999297,retweeted,1488886838312022029
59,1489297089251221505,retweeted,1488672694228815874
60,1489296906912157699,retweeted,1489295037967978497
61,1489296861202722819,retweeted,1489295037967978497
62,1489296846904307719,retweeted,1489295037967978497
63,1489296806471249920,retweeted,1489295037967978497
64,1489296796845318154,retweeted,1489295037967978497
65,1489296783603908610,retweeted,1489295037967978497
66,1489296752998076425,retweeted,1489295037967978497
67,1489296714179792906,retweeted,1489295037967978497
68,1489296583736938500,retweeted,1489295037967978497
69,1489296575717277698,retweeted,1489223037392396288
70,1489296292362731525,retweeted,1489295037967978497
71,1489296282355122176,retweeted,1489295037967978497
72,1489296278337073159,retweeted,1489295037967978497
73,1489296212092145664,quoted,1489295051352117254
74,1489296164080033795,retweeted,1489295037967978497
75,1489296131758514178,retweeted,1489295037967978497
76,1489296113194651666,retweeted,1489295037967978497
77,1489296088670502912,retweeted,1489295037967978497
78,1489296056605151246,retweeted,1489295037967978497
79,1489295936509652998,retweeted,1489295037967978497
80,1489295786886287366,retweeted,1489295037967978497
81,1489295725708075018,retweeted,1489295037967978497
82,1489295723938172935,retweeted,1489295037967978497
83,1489295669412216840,retweeted,1489295037967978497
84,1489295629281075202,quoted,1488865227462615040
85,1489295619978153984,retweeted,1489295037967978497
86,1489295543608164356,retweeted,1489295037967978497
87,1489295471860408320,retweeted,1489295037967978497
88,1489295414868152320,retweeted,1489295037967978497
89,1489295411420536835,retweeted,1489295037967978497
90,1489312707169902597,retweeted,1489308485766418432
91,1489312701163749378,retweeted,1489307161138442240
92,1489312605286055937,retweeted,1489295037967978497
93,1489312577893154816,retweeted,1489307161138442240
94,1489312434913488901,retweeted,1489309741088055297
95,1489312427288285184,retweeted,1489310921084211202
96,1489312406295748608,retweeted,1489312115731034114
97,1489312395801595906,retweeted,1489295037967978497
98,1489312369381675009,retweeted,1489295037967978497
99,1489312338595430406,retweeted,1489312115731034114
100,1489312290209992719,retweeted,1489307161138442240
101,1489312125994557453,retweeted,1489309741088055297
102,1489312117354373124,retweeted,1489295037967978497
103,1489312046793445376,retweeted,1489310921084211202
104,1489311873170231300,retweeted,1489307161138442240
105,1489311867981991949,retweeted,1489307161138442240
106,1489311692349911040,retweeted,1489309741088055297
107,1489311669671006211,retweeted,1489310921084211202
108,1489311653984280579,retweeted,1489295037967978497
109,1489311635567263748,retweeted,1489309741088055297
110,1489311632606040068,retweeted,1489307161138442240
111,1489311611097694213,retweeted,1489305979913129989
112,1489311582492389377,retweeted,1489309741088055297
113,1489311575282368515,retweeted,1489307161138442240
114,1489311547017117705,retweeted,1489309741088055297
115,1489311489441865732,retweeted,1489307161138442240
116,1489311469044916224,retweeted,1489310921084211202
117,1489311451357622272,retweeted,1489309741088055297
118,1489311416737742852,retweeted,1489308485766418432
119,1489311408554610693,retweeted,1489295037967978497
120,1489311371837808644,retweeted,1489295037967978497
121,1489311371439321091,retweeted,1489309741088055297
122,1489311357463928836,retweeted,1489308485766418432
123,1489311352292356099,retweeted,1489310921084211202
124,1489311351738716160,retweeted,1489307161138442240
125,1489311348731355141,retweeted,1489310921084211202
126,1489311307253919752,retweeted,1489308485766418432
127,1489311293681156098,retweeted,1489295037967978497
128,1489311292263477255,retweeted,1489310921084211202
129,1489311215952220163,retweeted,1489305979913129989
130,1489311198826934276,replied_to,1489303560814800897
131,1489311189721038850,retweeted,1489308485766418432
132,1489311098545348611,retweeted,1489308485766418432
133,1489311053183954949,retweeted,1489308485766418432
134,1489311051678195712,retweeted,1489305979913129989
135,1489311029641334786,retweeted,1489310921084211202
136,1489311011140165632,retweeted,1489308485766418432
137,1489310974452641796,retweeted,1489284644700831748
138,1489327767338553349,retweeted,1489324569768857602
139,1489327701680746498,retweeted,1489284644700831748
140,1489327675680428033,retweeted,1489295037967978497
141,1489327670634565632,retweeted,1489295037967978497
142,1489327664309710855,retweeted,1489318397988917249
143,1489327563860332544,retweeted,1489318397988917249
144,1489327556604137474,retweeted,1489318397988917249
145,1489327552833466374,retweeted,1489314888711294976
146,1489327542809075712,retweeted,1489295037967978497
147,1489327529085136896,retweeted,1489326612139151369
148,1489327419429429250,retweeted,1489324569768857602
149,1489327383131922440,retweeted,1489295037967978497
150,1489327374718148615,retweeted,1489318397988917249
151,1489327337107767298,retweeted,1489308485766418432
152,1489327307600896001,retweeted,1489295037967978497
153,1489327265326546953,retweeted,1489298322183491586
154,1489327188075761664,retweeted,1489324569768857602
155,1489327183868968964,retweeted,1489318397988917249
156,1489327146938114055,retweeted,1489308485766418432
157,1489327143641395201,retweeted,1488886838312022029
158,1489327092240166924,retweeted,1489326612139151369
159,1489327088242806785,replied_to,1489271418873430025
160,1489327067279859713,retweeted,1489324761482248192
161,1489327032517500930,retweeted,1489326612139151369
162,1489326976355680263,retweeted,1489295037967978497
163,1489326955375771652,retweeted,1489295037967978497
164,1489326929954193413,retweeted,1489295037967978497
165,1489326901399281670,retweeted,1489326612139151369
166,1489326892461301760,retweeted,1489320331328188419
167,1489326789679730688,retweeted,1489326612139151369
168,1489326751230615552,retweeted,1489295037967978497
169,1489326702828441602,retweeted,1489324761482248192
170,1489326672969039872,retweeted,1489320331328188419
171,1489326656825270278,retweeted,1489314888711294976
172,1489326541167230977,retweeted,1489308485766418432
173,1489326538185220111,retweeted,1488886838312022029
174,1489326510313918469,retweeted,1489324569768857602
175,1489326437391900677,retweeted,1489319274707447809
176,1489326423919759363,retweeted,1488650075769344000
177,1489326423235960834,retweeted,1489319274707447809
178,1489326392026218505,retweeted,1489309741088055297
179,1489326384124153856,retweeted,1489318397988917249
180,1489326212484943878,retweeted,1489324761482248192
