,text,like_count,retweet_count,created_at,tweet_id,author_id
0,"I attended the Prime Minister’s office for a very important diplomatic mission this morning. 

#cdnpoli #antivaxxers #Ottawa https://t.co/2J9cW7MtNC",143,17,2022-02-03T13:49:49.000Z,1489234674484396034,799717156589965312
1,"It's basic politics, basic policing, basic sense that if bullies feel empowered they will become more, not less bullying. Law and order has to be restored to #Ottawa and it's obvious that what has been tried so far has failed badly. #antivaxxers #convoy",313,62,2022-02-02T23:47:56.000Z,1489022805735845900,27013347
2,"#Brexiteers
#Antivaxxers
#Qanon
#FlatEarthers

the new list entry for 2022 is……

#BorisJohnsonApologists

Clowns the lot of them

🤡🤡🤡🤡",1,1,2022-01-26T18:06:54.000Z,1486400269374136324,1431679720857427976
3,Just extraordinary that there are military willing to risk a dishonorable discharge rather than get vaccinated. How on earth is this not a cult?,982,148,2022-02-03T00:01:38.000Z,1489026256423247875,138168339
4,"A peaceful protest. 

#cdnpoli #antivaxxers #Ottawa https://t.co/pUTIYHQmDu",479,191,2022-01-31T20:56:32.000Z,1488254896906416132,799717156589965312
5,"The lone counter protester is back, and convoy supporters are honking air horns in his ears &amp; trying to confine his movement. 

Freedom of expression, not. 

#cdnpoli #antivaxxers #Ottawa https://t.co/uNMd9e4yqR",1815,490,2022-02-02T18:18:03.000Z,1488939789919436803,799717156589965312
6,"There’s something apropos about dirt being used as a medium for convoy/occupation messaging. 

#cdnpoli #antivaxxers #Ottawa https://t.co/v2XSCBJy5J",72,8,2022-02-03T12:42:01.000Z,1489217612055781380,799717156589965312
7,"There’s a lot of shameless cosplay taking place. 

#cdnpoli #antivaxxers #Ottawa https://t.co/k3tUvLWQ0T",292,80,2022-02-02T16:53:35.000Z,1488918533295808513,799717156589965312
8,"Trying to have a rational conversation with Trumpers, #antivaxxers, #antimaskers , climate change deniers, and Senate Republicans is a waste of time and energy. #RepublicansAreThe Problem. #RepublicansAreDestroyingAmerica https://t.co/8HZOYl9Xig",1,2,2022-02-03T04:23:36.000Z,1489092182401245189,543260343
9,"Doesn’t look like things are going well with the convoy’s GoFundMe money. 

That’s a shame.

#cdnpoli #antivaxxers #Ottawa https://t.co/4t2Ri0ilkO",583,159,2022-02-03T03:20:26.000Z,1489076284894363650,799717156589965312
10,"""That is not in the cards right now,"" says Prime Minister Justin Trudeau about the possibility of sending the military into Ottawa to end the protests. He says the government will entertain any request but so far there are none from the province #cndpoli",70,28,2022-02-03T16:41:46.000Z,1489277947068526594,117122035
11,"My business is 450 meters from Parliament Hill and we have been able to conduct business without issue today.

I was also able to drive around most of the downtown core with perhaps a minute or two of additional delay.",7817,2533,2022-02-02T22:24:21.000Z,1489001772513468422,310323256
12,@bogeywheels @dynaLIFE That’s so frustrating. I too tried to get a sample collected for my daughter at my Dynalife site. But closes at 4 pm. That’s crazy early. I guess I’ll have to use vacation time AND take her out of school to do this. Not very good customer service. Few are off work by 4.,2,0,2022-02-03T14:50:08.000Z,1489249853976690701,290739740
13,"A local resident walks past the convoy with a sign in counter protest. 

I suspect many people are close to or past their breaking point. This is a tinderbox situation, and not the fun kind of Tinder. 

#cdnpoli #antivaxxers #Ottawa https://t.co/Arm8vSRWRI",9267,1584,2022-02-02T14:47:39.000Z,1488886838312022029,799717156589965312
14,"COVID: We will being seeing more and more revisionist history from deniers &amp; #antivaxxers.

Reality: vaccines saved hundreds of thousands of lives.

So needed. So effective. Thx, science. 🙏🏽",713,93,2022-02-02T16:38:58.000Z,1488914851933999105,407395156
15,Why is the Alberta government and RCMP negotiating with a fucking Rebel Media lawyer?,3074,427,2022-02-02T22:05:18.000Z,1488996978469920772,135433469
16,"This is not what I wanted. 

This is not what any of us needed. 

And yet, here we are. 

Life is suffering. 

#cdnpoli #antivaxxers #Ottawa https://t.co/Sr3oB2IP2p",433,63,2022-02-03T00:30:07.000Z,1489033422383333377,799717156589965312
17,"#antivaxxers If you aren't Vaccinated but still continue to be in public without a mask, you have probably killed someone.",22,4,2022-02-03T14:57:00.000Z,1489251580138319885,364860211
