,username,followers_count,following_count,user_tweet_count,listed_count,description,user_id
0,PolinaKovalen10,874,1100,26450,1,Proud Canadian 🇨🇦🇬🇷🇮🇱since 2000. #IStandWithTrudeau.❤️ Registered Liberal. RT is not an endorsement,874984203980603392
1,CarymaRules,22013,6449,61533,143,DM if your publication is looking for editorial cartoons. Tweets ≠ legal advice. RTs ≠ endorsements.,799717156589965312
2,thesaraegray,186,1999,16637,10,,117941131
3,michaelcoren,34645,134,75753,430,https://t.co/cXnKcc4zO5,27013347
4,MnSpenpal,574,583,33390,8,"Commercial landlady. Married, disabled. Singer, fanfic writer. Loves travelling ( Italy, Vancouver...& Isle Of Wight is my second home.)",2423794922
5,UnKettled,10,60,200,0,"Small in stature and very pointy, a Toon fan for my sins",1431679720857427976
6,DonlasAdbe,84,364,1632,0,,1476542065643294722
7,VABVOX,120606,4681,459956,1288,Award-winning investigative journo. ▪2020 Society of Professional Journalists Award: Newspaper Feature Reporting▪ Writes books. Socialist.#M4A #BLM she/they,138168339
8,The12fthOfNever,2852,763,64985,0,"Canadian Liberal 🇨🇦 Author   Privileged to be a citizen of Canada, led by the longest-standing progressive feminist government in the world.",1185531782952816640
9,GREHG12,71,296,8457,1,The worst.,1276912674140553216
10,justrying4,14,3,14394,0,I'm justrying,1150121514617860097
11,itnel3,43,522,745,3,let me write things please,3295769961
12,BennieWiley,8751,8474,186653,212,Focus On The Insane Addiction Republicans Have For Liars Cowards Traitors Incompetence & The Immoral Politics Of Hate Religion Hypocrisy Ignorance Fear.,543260343
13,BombCyclone21,220,1055,8049,0,"Tweeting the man-made End Days like everyone else and fighting fascism and demagoguery, We need to rethink almost everything.🇨🇦",1401703125220737031
14,WiseWmn,454,717,6464,6,"Policy Analyst- Experimental Photographer - Supporter of #BIPOC, Science & Logic
""Those, who are unable to see the reality, will be lost in darkness.""",159980918
15,MariekeWalsh,28829,3078,18063,470,ma-REE-ka 🇳🇱 🇨🇦 // political reporter @globeandmail // mwalsh@globeandmail.com,117122035
16,TheCreeWoman,225,1045,3457,1,Life Giver. Cree. Mother. Wife. Friend. Believer. Advocate. Foothills First Nation #racismisforlosers #blm #stopasianhate #islamophobiaisforlosers,33522686
17,OBAlawyers,16482,1086,15966,238,"The Ontario Bar Association is the voice of the legal profession. We represent lawyers, provide CPD and work to improve the law in Ontario.",430077433
18,DavidAnber,17261,72,5097,67,"Criminal Lawyer & Owner of David Anber’s Law Office. A small firm getting big results across Canada. Defender of free speech, individual rights & common sense.",310323256
19,bogeywheels,1176,4605,45169,42,Canadian living on the 'pale blue dot'.,237527047
20,Halpingal,1133,1518,8944,18,"Account is a hot mess of HLA, immunogenetics, ABO, transplant, healthcare, laboratory medicine, education, politics, and YEG (she/her)",290739740
21,AshaleaStone97,297,651,1845,39,"Toronto proud. 
#Marketing maven who loves CRM, social media, CX and strategy. MBA. Yoga life student. Weakness for patios.
IG: @thelovelymissstone",150020845
22,fstrongheart,175,807,312,0,I go between rocking the boat and trying to make everyone feel comfortable. It can get a little confusing.,309376665
23,kathymahar,1307,1913,105071,6,"Metis, Mother, Advocate, Vegetarian, Animal & Nature Lover, Organic Gardner, Fighting for change in Policing, Justice in Rape & Sexual Assualt",2223448596
24,EdenHennessey,1777,3110,1084,29,"PhD (Social Psychology)
She/Her
Researcher & STEMinist
Creator of #DistractinglySexist #DistractinglyHonest & #TurningTablesinSTEM photo-research exhibits",582081674
25,CaulfieldTim,77217,4594,73155,1354,"Professor of health law & science policy, speaker, TV host & author. Instagram: https://t.co/UBxEKYu9dT?… #GoScience! #ScienceUpFirst!",407395156
26,HugsMasks,536,303,7017,4,"Little patience for conspiracy theory and deliberate ignorance. Anti-vaxxers are the worst, closely followed by anti-maskers. Get vaccinated.",1353478122679635970
27,EbonyJHilton_MD,39204,5911,28923,279,Co-Founder @GOODSTOCK_LLC | Anesthesiologist ▪️@MSNBC Medical Contributor ▪️Inventor ▪️Public Speaker ▪️ Author ▪️ Activist,275104144
28,JenniferCardin8,36,64,3939,1,Vet Tech 🐶🐱🐰 Creater📝🎨Canadian 🇨🇦 Geek 🦄🐉🎭 (She/Her),725791019304914944
29,KingHippoh,174,317,2606,1,I know EXACTLY what I'm doing..,1170127952371019777
30,caffeineshakesj,67,483,1469,0,“A rainy day in Newfoundland is better than a sunny day anywhere else.” This is my rage tweet account. #Ottawa #DemocraticSocialist #ProBigGovernment #AntiHate,1247583725266796544
31,edwinmundt,5661,5148,151933,2,"Proprietor, The Big Steak •  Bigfoot War Room • Hashtag Haberdasher • Shirt Disturber • Sartorial Satire • Mostly here to RT Golden Retrievers",135433469
32,PjchrisPenny,360,963,15994,0,Progressive. Dislike inequity and inequality. Retweets usually always mean agreement or stuff that's good to know.,1937617094
33,lifeisgoodform,1670,3632,120428,3,"Perma-gardener; organic food gardener; tree hugger, apparently a hippie 
#PERSIST
#BoycottFlorida #VoteBlue2022 #RetireRubio
*NO DMs*****NO LISTS!***",3309350937
34,moira228,2147,4880,29167,5,,364860211
35,CdnAck,394,949,17200,7,Interested in fun and the reality of life.,1320523698
