,User_A,User_B,Interaction
0,PolinaKovalen10,CarymaRules,Retweet
1,thesaraegray,michaelcoren,Retweet
2,MnSpenpal,UnKettled,Retweet
3,DonlasAdbe,DonlasAdbe,Tweet
4,The12fthOfNever,CarymaRules,Retweet
5,GREHG12,CarymaRules,Retweet
6,justrying4,justrying4,Tweet
7,itnel3,itnel3,Tweet
8,The12fthOfNever,CarymaRules,Retweet
9,BennieWiley,BennieWiley,Retweet
10,BombCyclone21,CarymaRules,Retweet
11,WiseWmn,WiseWmn,Tweet
12,TheCreeWoman,TheCreeWoman,Tweet
13,bogeywheels,bogeywheels,Tweet
14,AshaleaStone97,CarymaRules,Retweet
15,itnel3,CarymaRules,Retweet
16,fstrongheart,fstrongheart,Tweet
17,kathymahar,CarymaRules,Retweet
18,EdenHennessey,CaulfieldTim,Retweet
19,HugsMasks,CarymaRules,Retweet
20,EbonyJHilton_MD,EbonyJHilton_MD,Tweet
21,JenniferCardin8,CarymaRules,Retweet
22,KingHippoh,CarymaRules,Retweet
23,caffeineshakesj,caffeineshakesj,Tweet
24,PjchrisPenny,CarymaRules,Retweet
25,lifeisgoodform,moira228,Retweet
26,CdnAck,CarymaRules,Retweet
27,GAWHeckman,ScienceNotDogma,Retweet
28,JWMinBBY,CarymaRules,Retweet
29,MissSherr,CarymaRules,Retweet
30,ScienceNotDogma,ScienceNotDogma,Tweet
31,andresgp76,CarymaRules,Retweet
32,jubro4451,yoursmartdocs,Retweet
33,loretta_green83,CarymaRules,Retweet
34,Robdoyle,CarymaRules,Retweet
35,HollSpen,CarymaRules,Retweet
36,FireAndIce48,CarymaRules,Retweet
37,ManLeafs,ManLeafs,Tweet
38,HearinYQF,michaelcoren,Retweet
39,owtrayjed,CarymaRules,Retweet
40,AlaninCharlotte,CheesyAllie,Retweet
41,amber4913,CarymaRules,Retweet
42,vixy_vee,CarymaRules,Retweet
43,dan_kahraman,CarymaRules,Retweet
44,ShamanaDreams,ShamanaDreams,Tweet
45,AlaninCharlotte,CarymaRules,Retweet
46,dan_kahraman,CheesyAllie,Retweet
47,ManLeafs,ManLeafs,Tweet
48,goldribbons1606,CarymaRules,Retweet
49,pirate_beowolf,CarymaRules,Retweet
50,MaxineVerge,CarymaRules,Retweet
51,BeachLFireLecce,BeachLFireLecce,Tweet
52,inatimeofdeceit,inatimeofdeceit,Tweet
53,dinsmore_joyce,CarymaRules,Retweet
54,CharlesDeschen1,CarymaRules,Retweet
55,rymkrs,faisal_moola,Retweet
56,banana_soup10,CarymaRules,Retweet
57,gwenanenn,CarymaRules,Retweet
